player id,player rank,player ppg,team
630,1,33.7,Pacers Gaming
Splashy,2,32.2,Jazz Gaming
Choc,3,30.8,NetsGC
Bash,4,29.6,Blazer5 Gaming
Dre,5,27.2,76ers GC
oFAB,6,27.0,Cavs Legion GC
Duck,7,26.9,Knicks Gaming
Mama Im Dat Man,8,27.0,Kings Guard Gaming
Greenlight,9,26.7,Pistons GT
Radiant,10,26.4,Pistons GT
ShiftyKaii,11,25.9,T-Wolves Gaming
Ceez,12,26.4,Hawks Talon GC
Vandi,13,24.8,Grizz Gaming
Regg,14,25.2,Bucks Gaming
Dimez,15,25.3,Raptors Uprising GC
SAV,16,25.0,Heat Check Gaming
JBM,17,24.5,Wizards District Gaming
Reizey,18,22.8,Magic Gaming
Kenny Got Work,19,22.2,Raptors Uprising GC
BearDaBeast,20,22.4,T-Wolves Gaming
Bsmoove,21,22.7,Gen.G Tigers
ReeseDaGod,22,23.1,Lakers Gaming
CB13,23,22.1,Warriors Gaming Squad
Sherm,24,21.0,Hornets Venom GT
rigby,25,21.8,Hornets Venom GT
JMoney,26,21.7,Gen.G Tigers
OriginalMalik,27,21.1,Knicks Gaming
FT,28,20.3,Celtics Crossover Gaming
Hotshot,29,19.5,Heat Check Gaming
Shotz,30,18.5,NetsGC
WalkingBucket,31,18.4,Celtics Crossover Gaming
OneWildWalnut,32,18.3,76ers GC
Hezi,33,17.8,Warriors Gaming Squad
FEAST,34,16.1,Gen.G Tigers
Dayfri,35,16.9,Wizards District Gaming
Type,36,16.9,Raptors Uprising GC
Strainer,37,16.3,Cavs Legion GC
Ramo,38,16.4,Pistons GT
Slaughter,39,15.7,T-Wolves Gaming
Plondo,40,15.7,Bucks Gaming
Snubby,41,15.6,Magic Gaming
BP,42,15.4,Hawks Talon GC
PeteBeBallin,43,15.2,Hornets Venom GT
Krazy,44,14.5,Lakers Gaming
Arooks,45,15.0,76ers GC
BOHIO,46,14.4,Lakers Gaming
Chess,47,14.6,Grizz Gaming
Ria,48,14.1,Jazz Gaming
Sick One,49,14.2,Mavs Gaming
Gen,50,15.1,Mavs Gaming
May,51,14.0,Magic Gaming
DLAW,52,13.8,Cavs Legion GC
worthingcolt,53,13.8,Celtics Crossover Gaming
Expose,55,13.6,Bucks Gaming
AuthenticAfrican,56,13.8,Grizz Gaming
Jomar,57,13.0,Pacers Gaming
Swizurk,58,13.4,Pacers Gaming
ANTOINE,59,13.0,Warriors Gaming Squad
Gradient,60,13.1,Warriors Gaming Squad
Scretty,61,13.7,Blazer5 Gaming
Glo,62,12.3,Knicks Gaming
BRich,63,11.9,Wizards District Gaming
ReeceMode,64,12.5,Mavs Gaming
Seemo,65,11.8,Kings Guard Gaming
Big Saint,66,12.1,T-Wolves Gaming
G O O F Y 7 5 7,67,12.3,Blazer5 Gaming
Yusuf Scarbz,68,12.1,Kings Guard Gaming
Faiz,69,12.5,NetsGC
Zae,70,11.0,Mavs Gaming
Lee,71,11.3,Hawks Talon GC
Crush,72,10.4,Kings Guard Gaming
Lotty,73,10.9,Jazz Gaming
BreadwinnerLA,74,9.4,Blazer5 Gaming
Spartxn,75,9.4,Grizz Gaming
SlayIsland,76,10.4,NetsGC
Caliraq,77,9.9,Bucks Gaming
DT,78,9.8,Magic Gaming
Newdini,79,9.7,Wizards District Gaming
MaJes7ic,80,9.6,Kings Guard Gaming
LavishPhenom,81,9.5,Pacers Gaming
All Hail Trey,82,9.3,Raptors Uprising GC
Lord Beezus,83,9.3,Jazz Gaming
Charger x 704,84,8.9,Pistons GT
TsJosh,85,8.9,Raptors Uprising GC
Dante,86,8.3,NetsGC
Myles,87,8.5,T-Wolves Gaming
Seese,88,7.8,Lakers Gaming
WoLF,89,8.1,Pacers Gaming
Timelycook,90,8.0,Raptors Uprising GC
FutureClutch,91,8.0,Magic Gaming
Just Awkward,91,8.2,Wizards District Gaming
Big Perm,91,8.0,Bucks Gaming
Trap,94,8.0,Hornets Venom GT
Tactuk,95,7.9,Lakers Gaming
NateKahl,96,7.8,Knicks Gaming
Bulleyy,97,7.6,Celtics Crossover Gaming
Crown,98,8.0,Hornets Venom GT
Steez,99,7.6,76ers GC
KayAus,100,7.3,Warriors Gaming Squad
Komp,100,7.5,Bucks Gaming
TBShiftay,100,7.3,Heat Check Gaming
Fakiee,103,7.7,Hawks Talon GC
Yeah I Compete,104,7.5,Jazz Gaming
Milo,105,6.4,Pistons GT
Goddof2k,106,7.1,Cavs Legion GC
Randomz,107,7.3,Blazer5 Gaming
BxmpyDon,108,7.3,Gen.G Tigers
TURNUPDEFENSE,109,6.8,Gen.G Tigers
followTHEGOD,110,6.6,Grizz Gaming
Swann,111,6.3,Hawks Talon GC
Pexile,112,6.3,Pistons GT
Deedz,113,6.4,Heat Check Gaming
TayZo,114,6.3,Celtics Crossover Gaming
NoLoveZar,115,6.3,Knicks Gaming
BigRiM,116,5.6,Cavs Legion GC
UnderRatedGoat,117,5.3,76ers GC
MrStylez,118,4.4,Mavs Gaming
